name,description,category,unit,price
Commercial Site Audit,Detailed multi-room commercial cleanout assessment,Diagnostics,visit,150
Hazardous Material Assessment,Inspection for restricted or regulated waste items,Diagnostics,visit,100
Standard Labor Rate per Technician,Hourly charge per crew member for loading,Labor,hour,75
Heavy Item Special Handling Labor,"Extra labor for safes, pianos, or oversized items",Labor,hour,125
After-Hours Emergency Labor,Urgent night or weekend removal labor rate,Labor,hour,150
Dismantling and Disassembly Labor,"Breaking down large furniture, sheds, or swing sets",Labor,hour,85
Debris Sorting and Recycling Labor,"Separating recyclable metals, wood, and trash",Labor,hour,65
Stair Carry Surcharge,Fee for hauling items up or down flights of stairs,Labor,job,50
Long Carry Distance Fee,Fee for carrying items over 100 feet to truck,Labor,job,75
Single Item Pickup - Small,Removal of one small furniture or household item,Single Items,each,95
Single Item Pickup - Medium,Removal of one medium furniture piece,Single Items,each,125
Single Item Pickup - Large,"Removal of one large couch, dresser, or mattress",Single Items,each,165
Refrigerator or Freezer Removal,CFC-safe extraction and disposal of refrigeration unit,Single Items,each,150
Washer or Dryer Removal,Disconnection and hauling of laundry appliance,Single Items,each,125
Stove or Range Removal,Disconnection and hauling of kitchen stove,Single Items,each,125
Dishwasher Removal,Uninstallation and hauling of built-in dishwasher,Single Items,each,110
Water Heater Removal,"Drainage, disconnection, and hauling of tank",Single Items,each,175
Large Screen TV Removal,Specialized handling and recycling of flat screen TV,Single Items,each,90
Pianist Bench and Upright Piano Removal,Heavy transport and hauling of upright piano,Single Items,each,350
Grand Piano Removal,Specialized rigging and transport for grand piano,Single Items,each,650
Hot Tub Removal and Hauling,"Cutting up, dismantling, and hauling old hot tub",Single Items,each,450
Pool Table Disassembly and Removal,Breakdown and hauling of slate pool table,Single Items,each,350
Exercise Treadmill Removal,Disassembly and hauling of heavy gym equipment,Single Items,each,150
Elliptical or Home Gym Removal,Breakdown and hauling of multi-station gym unit,Single Items,each,200
Mattress and Box Spring Set,Hauling of one mattress and matching box spring,Single Items,each,110
Sofa Bed or Futon Removal,Removal of heavy pull-out couch or futon,Single Items,each,160
Patio Furniture Set Removal,Hauling table and chairs outdoor set,Single Items,each,130
Large Safe Removal,Heavy lifting and transport of fireproof home safe,Single Items,each,300
